/home/runner/work/tls/tls/output/effective.xml:103:26: error: element "componentsneeded" incomplete; missing required element "componentneeded"
/home/runner/work/tls/tls/output/effective.xml:140:39: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:1014:46: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:1076:55: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:1152:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:1274:45: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:1330:49: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:1373:39: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:1832:46: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:1977:55: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:2011:39: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:2119:45: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:2176:49: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:2237:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:2955:45: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:3017:54: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:3082:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:3188:44: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:3242:48: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:3284:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:3760:45: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:3913:54: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:3946:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:4056:44: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/output/effective.xml:4111:48: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
