/home/runner/work/tls/tls/input/tls.xml:106:26: error: element "componentsneeded" incomplete; missing required element "componentneeded"
/home/runner/work/tls/tls/input/tls.xml:143:39: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:1017:46: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:1079:55: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:1155:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:1277:45: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:1333:49: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:1376:39: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:1835:46: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:1980:55: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:2014:39: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:2122:45: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:2179:49: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:2240:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:2958:45: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:3020:54: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:3085:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:3191:44: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:3245:48: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:3287:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:3763:45: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:3916:54: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:3949:38: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:4059:44: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
/home/runner/work/tls/tls/input/tls.xml:4114:48: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "audit-table", "comp-lev", "consistency-rationale", "dependencies", "description", "f-element", "management" or "note"
